OFFICE NAME,DISTRICT,POSTAL DIVISION,POSTAL REGION,LAC,Data_2019,Data_2020,Data_2021
MIRC S.O,AHMED NAGAR,AHMEDNAGAR,PUNE,1014,2.65,2.95,4.52
Savedi Road S.O,AHMED NAGAR,AHMEDNAGAR,PUNE,1015,7.84,4.85,13.56
Akole S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1016,1.47,1,2.63
Kotul S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1037,5.95,3.92,14.25
Rajur S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1038,1.27,1.41,3.65
Chas-nali S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1039,0.95,3.29,8.14
Dhamori S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1074,42.24,23.6,85.32
Kolpewadi S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1075,31.3,19.09,56.25
Kopergaon S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1076,15.79,11.28,23.25
Pohegaon S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1077,1.31,1.23,2.89
Sakarwadi S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1078,1.37,0.71,3.14
Shinganapur S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1079,0.27,0.4,0.95
Bhanashivara S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1094,14.49,0.32,22.85
Bhende SK S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1095,7.59,0.15,11.23
Kukana S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1096,5.52,0.22,4.28
Nevasa S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1117,0,7.32,6.25
Babhleshwar S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1118,0,2.89,5.21
Changdeonagar S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1119,0,3.11,6.57
Kolhar S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1134,4.03,0,7.36
Loni Bk S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1135,2.96,8.2,2.32
Loni Kurd S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1136,0.52,2.5,3.89
Pravaranagar S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1157,5.5,0.2,6.17
Pun Tamba S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1158,0,0.12,2.35
Rahata S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1159,2.64,2.2,6.32
Ranjangaon Khurd S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1214,5.21,3.8,8.36
Shirdi S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1215,3.5,2.03,4.25
Deolali -pravara S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1216,29.67,17.66,39.24
Rahuri Factory S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1277,5.75,0.45,7.45
Rahuri MPKV S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1278,1.08,0.93,8.36
Ashvi BK S.O,AHMED NAGAR,SHRIRAMPUR,PUNE,1279,2.02,0.92,2.69
